sead-result,title,sead-details,veritas-tag,sender
Be Careful with this message,Recent Canvas notifications,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com)\nSuspicious Spam Messages\nThe reply address is strange. (\nreply+e7e30e5bb9275490-\n6199~248364651-\n1691830441 @notifications.canvasIms.com,e.veritas:Legitimate,University of Auckland - Canvas <notifications@instructure.com>
This message looks secure,Welcome to Overleaf,No Record in Sent items\nwelcome@overleaf.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (welcome@overleaf.com),e.veritas:Legitimate,Overleaf <welcome@overleaf.com>
Be Careful with this message,The University of Auckland - Unofficial Transcript Request.,Suspicious email address\nThe Original Sender email address is cs-\nprd@auckland.ac.nz\nNo Record in Sent items\ncs-prd@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (cs-prd@auckland.ac.nz),e.veritas:Legitimate,cs-prd@auckland.ac.nz
Be Careful with this message,[You're Invited] Announcing Winners for the Alumni Awards,No Record in Sent items\nnetacademail@external.cisco.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(netacademail@external.cisco.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,Cisco Networking Academy <netacademail@external.cisco.com>
This message looks secure,Secure your Future: Demystifying a Career in Cybersecurity: INFOSYS 727: Advanced Information Security,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,INFOSYS 727: Advanced Information Security <notifications@instructure.con
Be Careful with this message,Re: update for windows vm,Malicious Internet Link\nDomain of Internet Link (@monkey.org)\nis suspected of a malicious site.\nNo Record in Sent items\nIbet419@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (Ibet419@aucklanduni.ac.nz)\nSuspicious phishing\nSome phrases used in phishing emails\nare inclided,e.veritas:Legitimate,Lucas Betts <Ibet419@aucklanduni.ac.nz>
This message looks secure,Re: Phishing Conference,No Record in Sent items\nisa.seow@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (isa.seow@auckland.ac.nz),e.veritas:Legitimate,Isa Seow <isa.sseow@auckland.ac.nz>
This message looks secure,Update your Contact Info,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 725 on Piazza <no-reply@piazza.com>
This message looks secure,Where can locate the resources for Cisco Lab - Wireshark ?,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,INFOSYS 727 on Piazza <no-reply@piazza.com>
Be Careful with this message,TEAMMATES: Feedback session now open [Course: Advanced Information Security] [Feedback Session: Gr,Suspicious Scam Email\nThe reply address is strange. (\nteammates@comp.nus.edu.sg)\nNo Record in Sent items\nalerts@teammatesonline.info is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(alerts@teammatesonline.info)\nUndefined Category Domain\n@teammatesonline.info is a unkown\ndamain amonno cecturitvy comnanie<.,e.veritas:Warning,TEAMMATES Admin <alerts@teammatesonline.info>
