sead-result,title,sead-details,veritas-tag,sender
This message looks secure,[Amazon] 7ADYMARARMAICBSALCEAW,No Record in Sent items\nsupport-amazon.jp@cmdsxijy.cn is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support-amazon.jp@cmdsxjy.cn),e.veritas:Phishing,"- Amazon.co,jp <support-amazonjp@cmdsxjy.cn>"
This email seems dangerous,DHL Shipment Notification : 6540674221,Malicious Internet Link\nDomain of Internet Link\n(@7c8af7953f8226704.temporary.link) has\nvery bad reputation.\nSuspected Malicious Sender\n@selfserviceib.com has a low reputation.\nNo Record in Sent items\nDHL-PACKAGE-DHL-SHIPMENT-EXPRESS-\nTRACKING-PARCEL@selfserviceib.com is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(DHL-PACKAGE-DHL-SHIPMENT-EXPRESS-,e.veritas: Weming,~ DHL-PACKAGE-DHL-SHIPMENT-EXPRESS-TRACKING-PARCEL@selfserviceib.com
Be Careful with this message,13 Messages Pending,No Record in Sent items\npostmaster@mailsrv.email is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(postmaster@mailsrv.email)\nUndefined Category Domain\n@mailsrv.email is a unkown domain among\nsecurity companies.,e.veritas: Weming,- monkey.org <postmaster@mailsrv.email>
This message looks secure,12 Messages Pending,No Record in Sent items\npostmaster@calbaq.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(postmaster@calbaq.com),e.veritas:Legitimate,- monkey.org <postmaster@calbaq.com>
Be Careful with this message,Verify your account jose@monkey.org,Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\nadministrator@monkey.org is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(administrator@monkey.org),e.veritas:Phishing,- monkey.org <administrator@monkey.org>
Be Careful with this message,Your Email jose@monkey.org will be De-activated.,No Record in Sent items\nrmcqueen@themcqueenacademy.com is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(rmcqueen@themcqueenacademy.com)\nUndefined Category Domain\n@themcqueenacademy.com is a unkown\ndomain among security companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,- monkey.org Security <rmcqueen@themcqueenacademy.com>
Be Careful with this message,New mail from monkey.org sever,Suspicious Internet Link\nDomain of Internet Link (@servsooplc.xyz)\nhas bad reputation.\nNo Record in Sent items\nmujihotel@mbh-beijing.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(mujihotel@mh-beijing.com)\nUndefined Category Domain\n@mb-beijing.com is a unkown domain\namong security companies.,e.veritas:Legitimate,- monkey.org <mujihotel@mh-beijing.com>
Be Careful with this message,Warning: Low storage in jose@monkey.org - 13 Emails Pending,No Record in Sent items\njose@globeiron.cam is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(jose@globeiron.cam)\nUndefined Category Domain\n@globeiron.cam is a unkown domain among\nsecurity companies.,e.veritas:Phishing,- monkey.org Mail <jose@globeiron.cam>
This email seems dangerous,monkey.org Server Warning!!! (4) Pending undelivered mails for jose@monkey.org,Suspicious email address\nThe Original Sender email address is\nbaba.s@ap.nrrs.net\nNo Record in Sent items\nbaba.s@ap.nrrs.net is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(baba.s@ap.nrrs.net)\nUndefined Category Domain\n@ap.nrrs.net is a unkown domain among\nsecurity companies.,e.veritas:Legitimate,- baba.s@ap.nrrs.net
This message looks secure,Payment Completed.,No Record in Sent items\npaypal.invoice5454@gmail.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(paypal.invoice5454@gmail.com),e.veritas:Legitimate,- Paypal <paypal.invoice5454@gmail.com>
Be Careful with this message,2 new files sent via We-Transfer for jose@monkey.org,No Record in Sent items\npostmaster@arkema.me is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(postmaster@arkema.me)\nUndefined Category Domain\n@arkema.me is a unkown domain among\nsecurity companies.,e.veritas: Weming,_ We Transfer <postmaster@arkema.me>
This message looks secure,verify,No Record in Sent items\nservice@notice.alibaba.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(service@notice.alibaba.com),e.veritas:Phishing,- monkey.org <service@notice.alibaba.com>
This message looks secure,File will expire soon-56830367,No Record in Sent items\ninfo@slimexo.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@slimexo.com),e.veritas: Weming,- WeTransfer <info@slimexo.com>
Be Careful with this message,Your Smarsh Email Encryption Activation Information,No Record in Sent items\nreports@elizur.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(reports@elizur.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,~ Charles W jackson jr <reports@elizur.com>
Be Careful with this message,"A document titled ""Proposal"" has been shared with you on Onedrive",Suspicious Sender Domain\nThe creation date is not searched with\n@hpsuplacement.org.au\nNo Record in Sent items\nno-reply@hpsuplacement.org.au is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(no-reply@hpsuplacement.org.au)\nUndefined Category Domain\n@hpsuplacement.org.au is a unkown\ndomain among security companies.,e.veritas: Weming,- OneDrive <no-reply@hpsuplacement.org.au>
Be Careful with this message,You have [2] Pending Delivery On Your e-Mail Portal,No Record in Sent items\nserver@hmcasia.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(server@hrncasia.com)\nUndefined Category Domain\n@hrncasia.com is a unkown domain among\nsecurity companies.,e.veritas: Weming,- monkey.org Administrator <server@hrncasia.com>
This email seems dangerous,Review Invoice,Malicious Internet Link\nDomain of Internet Link\n(@may1110genstanbk.web.app) is\nsuspected of a malicious site.\nMalicious Internet Link\nDomain of Internet Link\n(@may1110genstanbk.web.app) has very\nbad reputation.\nSuspicious Scam Email\nThe reply address is strange. (\ntom_hanaaa@yahoo.com)\nSuspicious Sender Domain\nThe creation date is not searched with\n@mts.rs,e.veritas:Legitimate,- Chua <taratours@mts.rs>
Be Careful with this message,Server Notification,No Record in Sent items\nno-reply@caterpillarkids.in is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(no-reply@caterpillarkids.in)\nUndefined Category Domain\n@caterpillarkids.in is a unkown domain\namong security companies.,e.veritas:Phishing,_ Admin <no-reply@caterpillarkids.in>
Be Careful with this message,Your Smarsh Email Encryption Activation Information,No Record in Sent items\nreports@elizur.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(reports@elizur.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,~ Charles W jackson jr <reports@elizur.com>
Be Careful with this message,File will expire soon-15676127,No Record in Sent items\ninfo@softsourc.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@softsourc.com)\nUndefined Category Domain\n@softsourc.com is a unkown domain among\nsecurity companies.,e.veritas: Weming,_ WeTransfer <info@softsourc.com>
Be Careful with this message,Invoice of Malwar-Bytes Essential #ATSO7-6052549,No Record in Sent items\ninfo@geek-squadservices106.co is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@geek-squadservices106.co)\nUndefined Category Domain\n@geek-squadservices106.co is a unkown\ndomain among security companies.,e.veritas:Phishing,_ Service Updates <info@geek-squadservices106.co>
Be Careful with this message,"A document titled ""Proposal"" has been shared with you on Onedrive",No Record in Sent items\ncontacts@driveteams.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(contacts@driveteams.com)\nUndefined Category Domain\n@driveteams.com is a unkown domain\namong security companies.,e.veritas:Phishing,- OneDrive <contacts@driveteams.com>
This email seems dangerous,Your email < jose@monkey.org > is 98% full. Add Up Space Now!!,Suspicious email address\nThe Original Sender email address is\njose@monkey.org\nSuspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\njose@monkey.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(jose@monkey.org),e.veritas:Phishing,- jose@monkey.org
Be Careful with this message,monkey.org Expiration/Request=26,No Record in Sent items\nsecured @sleepy-snyder.178-62-125-\n171.plesk.page is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(secured @sleepy-snyder.178-62-125-\n171.plesk.page)\nUndefined Category Domain\n@sleepy-snyder.178-62-125-171.plesk.page\nis a unkown domain among security\ncompanies.\nSuspicious Phishing Email\nThe creation date of the link\n(@link.eu1.storjshare.io) is not found in,e.veritas:Legitimate,- monkey.org <secured@sleepy-snyder.178-62-125-171.plesk.page>
